id,datetime,open,high,low,close,volume,open_oi,close_oi,symbol,duration,time,date
466559,2023-12-29 14:59:00,3438.6,3440.0,3438.0,3439.4,656.0,105476.0,105704.0,KQ.m@CFFEX.IF,60000000000,14:59:00,2023-12-29
466560,2024-01-02 09:30:00,3439.4,3442.0,3427.2,3430.8,1839.0,105704.0,104649.0,KQ.m@CFFEX.IF,60000000000,09:30:00,2024-01-02
466561,2024-01-02 09:31:00,3430.8,3432.0,3428.8,3430.2,862.0,104649.0,104225.0,KQ.m@CFFEX.IF,60000000000,09:31:00,2024-01-02
466562,2024-01-02 09:32:00,3430.2,3430.4,3426.4,3427.6,869.0,104225.0,103745.0,KQ.m@CFFEX.IF,60000000000,09:32:00,2024-01-02
466563,2024-01-02 09:33:00,3427.6,3427.8,3420.4,3422.2,966.0,103745.0,103192.0,KQ.m@CFFEX.IF,60000000000,09:33:00,2024-01-02
466564,2024-01-02 09:34:00,3422.2,3422.4,3418.2,3419.4,804.0,103192.0,102871.0,KQ.m@CFFEX.IF,60000000000,09:34:00,2024-01-02
466565,2024-01-02 09:35:00,3419.4,3419.4,3416.4,3416.6,750.0,102871.0,102618.0,KQ.m@CFFEX.IF,60000000000,09:35:00,2024-01-02
466566,2024-01-02 09:36:00,3416.6,3420.2,3416.4,3418.8,823.0,102618.0,102422.0,KQ.m@CFFEX.IF,60000000000,09:36:00,2024-01-02
466567,2024-01-02 09:37:00,3418.8,3419.4,3416.4,3417.4,561.0,102422.0,102241.0,KQ.m@CFFEX.IF,60000000000,09:37:00,2024-01-02
466568,2024-01-02 09:38:00,3417.4,3420.0,3416.6,3419.8,494.0,102241.0,102152.0,KQ.m@CFFEX.IF,60000000000,09:38:00,2024-01-02
466569,2024-01-02 09:39:00,3419.8,3421.6,3418.4,3418.8,612.0,102152.0,101985.0,KQ.m@CFFEX.IF,60000000000,09:39:00,2024-01-02
466570,2024-01-02 09:40:00,3418.8,3421.2,3417.6,3419.8,449.0,101985.0,101810.0,KQ.m@CFFEX.IF,60000000000,09:40:00,2024-01-02
466571,2024-01-02 09:41:00,3419.8,3421.4,3419.6,3419.6,716.0,101810.0,101536.0,KQ.m@CFFEX.IF,60000000000,09:41:00,2024-01-02
466572,2024-01-02 09:42:00,3419.6,3421.0,3418.6,3419.0,362.0,101536.0,101417.0,KQ.m@CFFEX.IF,60000000000,09:42:00,2024-01-02
466573,2024-01-02 09:43:00,3419.0,3419.6,3415.6,3416.0,422.0,101417.0,101314.0,KQ.m@CFFEX.IF,60000000000,09:43:00,2024-01-02
466574,2024-01-02 09:44:00,3416.0,3417.0,3415.4,3416.4,378.0,101314.0,101159.0,KQ.m@CFFEX.IF,60000000000,09:44:00,2024-01-02
466575,2024-01-02 09:45:00,3416.4,3420.4,3416.4,3418.4,691.0,101159.0,100998.0,KQ.m@CFFEX.IF,60000000000,09:45:00,2024-01-02
466576,2024-01-02 09:46:00,3418.4,3418.6,3416.8,3418.0,256.0,100998.0,100963.0,KQ.m@CFFEX.IF,60000000000,09:46:00,2024-01-02
466577,2024-01-02 09:47:00,3418.0,3418.0,3416.0,3416.6,324.0,100963.0,100918.0,KQ.m@CFFEX.IF,60000000000,09:47:00,2024-01-02
466578,2024-01-02 09:48:00,3416.6,3417.2,3416.0,3416.8,214.0,100918.0,100852.0,KQ.m@CFFEX.IF,60000000000,09:48:00,2024-01-02
466579,2024-01-02 09:49:00,3416.8,3417.6,3416.0,3417.2,166.0,100852.0,100791.0,KQ.m@CFFEX.IF,60000000000,09:49:00,2024-01-02
466580,2024-01-02 09:50:00,3417.2,3418.4,3416.4,3417.0,231.0,100791.0,100712.0,KQ.m@CFFEX.IF,60000000000,09:50:00,2024-01-02
466581,2024-01-02 09:51:00,3417.0,3418.0,3414.4,3415.2,389.0,100712.0,100578.0,KQ.m@CFFEX.IF,60000000000,09:51:00,2024-01-02
466582,2024-01-02 09:52:00,3415.2,3415.4,3413.2,3413.4,313.0,100578.0,100475.0,KQ.m@CFFEX.IF,60000000000,09:52:00,2024-01-02
466583,2024-01-02 09:53:00,3413.4,3413.4,3411.0,3411.2,443.0,100475.0,100250.0,KQ.m@CFFEX.IF,60000000000,09:53:00,2024-01-02
466584,2024-01-02 09:54:00,3411.2,3413.2,3410.8,3412.4,379.0,100250.0,100135.0,KQ.m@CFFEX.IF,60000000000,09:54:00,2024-01-02
466585,2024-01-02 09:55:00,3412.4,3413.8,3412.2,3413.8,222.0,100135.0,100061.0,KQ.m@CFFEX.IF,60000000000,09:55:00,2024-01-02
466586,2024-01-02 09:56:00,3413.8,3414.4,3413.0,3413.8,287.0,100061.0,99935.0,KQ.m@CFFEX.IF,60000000000,09:56:00,2024-01-02
466587,2024-01-02 09:57:00,3413.8,3417.2,3413.2,3417.0,487.0,99935.0,99811.0,KQ.m@CFFEX.IF,60000000000,09:57:00,2024-01-02
466588,2024-01-02 09:58:00,3417.0,3417.0,3414.8,3414.8,166.0,99811.0,99738.0,KQ.m@CFFEX.IF,60000000000,09:58:00,2024-01-02
466589,2024-01-02 09:59:00,3414.8,3415.4,3414.0,3414.6,134.0,99738.0,99676.0,KQ.m@CFFEX.IF,60000000000,09:59:00,2024-01-02
466590,2024-01-02 10:00:00,3414.6,3416.0,3413.8,3415.8,306.0,99676.0,99543.0,KQ.m@CFFEX.IF,60000000000,10:00:00,2024-01-02
466591,2024-01-02 10:01:00,3415.8,3417.0,3415.4,3416.8,220.0,99543.0,99473.0,KQ.m@CFFEX.IF,60000000000,10:01:00,2024-01-02
466592,2024-01-02 10:02:00,3416.8,3418.4,3416.2,3418.4,270.0,99473.0,99378.0,KQ.m@CFFEX.IF,60000000000,10:02:00,2024-01-02
466593,2024-01-02 10:03:00,3418.4,3419.2,3417.4,3418.4,341.0,99378.0,99212.0,KQ.m@CFFEX.IF,60000000000,10:03:00,2024-01-02
466594,2024-01-02 10:04:00,3418.4,3419.2,3418.0,3418.8,258.0,99212.0,99085.0,KQ.m@CFFEX.IF,60000000000,10:04:00,2024-01-02
466595,2024-01-02 10:05:00,3418.8,3421.0,3418.2,3420.8,416.0,99085.0,98917.0,KQ.m@CFFEX.IF,60000000000,10:05:00,2024-01-02
466596,2024-01-02 10:06:00,3420.8,3420.8,3418.2,3418.4,223.0,98917.0,98829.0,KQ.m@CFFEX.IF,60000000000,10:06:00,2024-01-02
466597,2024-01-02 10:07:00,3418.4,3419.6,3418.2,3418.8,160.0,98829.0,98754.0,KQ.m@CFFEX.IF,60000000000,10:07:00,2024-01-02
466598,2024-01-02 10:08:00,3418.8,3418.8,3416.4,3417.2,231.0,98754.0,98675.0,KQ.m@CFFEX.IF,60000000000,10:08:00,2024-01-02
466599,2024-01-02 10:09:00,3417.2,3417.8,3416.2,3416.6,179.0,98675.0,98603.0,KQ.m@CFFEX.IF,60000000000,10:09:00,2024-01-02
466600,2024-01-02 10:10:00,3416.6,3416.6,3414.0,3414.6,306.0,98603.0,98534.0,KQ.m@CFFEX.IF,60000000000,10:10:00,2024-01-02
466601,2024-01-02 10:11:00,3414.6,3415.4,3413.8,3415.2,153.0,98534.0,98493.0,KQ.m@CFFEX.IF,60000000000,10:11:00,2024-01-02
466602,2024-01-02 10:12:00,3415.2,3415.6,3413.8,3414.2,139.0,98493.0,98474.0,KQ.m@CFFEX.IF,60000000000,10:12:00,2024-01-02
466603,2024-01-02 10:13:00,3414.2,3414.4,3412.8,3413.6,253.0,98474.0,98448.0,KQ.m@CFFEX.IF,60000000000,10:13:00,2024-01-02
466604,2024-01-02 10:14:00,3413.6,3414.6,3413.0,3414.6,132.0,98448.0,98402.0,KQ.m@CFFEX.IF,60000000000,10:14:00,2024-01-02
466605,2024-01-02 10:15:00,3414.6,3415.4,3413.4,3414.6,211.0,98402.0,98349.0,KQ.m@CFFEX.IF,60000000000,10:15:00,2024-01-02
466606,2024-01-02 10:16:00,3414.6,3414.6,3413.4,3414.4,111.0,98349.0,98310.0,KQ.m@CFFEX.IF,60000000000,10:16:00,2024-01-02
466607,2024-01-02 10:17:00,3414.4,3414.4,3413.4,3413.6,95.0,98310.0,98283.0,KQ.m@CFFEX.IF,60000000000,10:17:00,2024-01-02
466608,2024-01-02 10:18:00,3413.6,3413.8,3412.6,3413.0,218.0,98283.0,98265.0,KQ.m@CFFEX.IF,60000000000,10:18:00,2024-01-02
466609,2024-01-02 10:19:00,3413.0,3414.0,3412.0,3412.0,162.0,98265.0,98243.0,KQ.m@CFFEX.IF,60000000000,10:19:00,2024-01-02
466610,2024-01-02 10:20:00,3412.0,3412.8,3410.0,3411.0,389.0,98243.0,98178.0,KQ.m@CFFEX.IF,60000000000,10:20:00,2024-01-02
466611,2024-01-02 10:21:00,3411.0,3411.0,3409.6,3409.8,306.0,98178.0,98102.0,KQ.m@CFFEX.IF,60000000000,10:21:00,2024-01-02
466612,2024-01-02 10:22:00,3409.8,3411.0,3409.4,3410.0,272.0,98102.0,97986.0,KQ.m@CFFEX.IF,60000000000,10:22:00,2024-01-02
466613,2024-01-02 10:23:00,3410.0,3410.2,3406.4,3406.4,489.0,97986.0,97889.0,KQ.m@CFFEX.IF,60000000000,10:23:00,2024-01-02
466614,2024-01-02 10:24:00,3406.4,3409.8,3406.4,3409.6,268.0,97889.0,97827.0,KQ.m@CFFEX.IF,60000000000,10:24:00,2024-01-02
466615,2024-01-02 10:25:00,3409.6,3409.6,3407.6,3408.4,209.0,97827.0,97816.0,KQ.m@CFFEX.IF,60000000000,10:25:00,2024-01-02
466616,2024-01-02 10:26:00,3408.4,3410.4,3408.2,3410.4,164.0,97816.0,97778.0,KQ.m@CFFEX.IF,60000000000,10:26:00,2024-01-02
466617,2024-01-02 10:27:00,3410.4,3412.2,3410.2,3412.2,170.0,97778.0,97765.0,KQ.m@CFFEX.IF,60000000000,10:27:00,2024-01-02
466618,2024-01-02 10:28:00,3412.2,3412.6,3410.8,3410.8,164.0,97765.0,97756.0,KQ.m@CFFEX.IF,60000000000,10:28:00,2024-01-02
466619,2024-01-02 10:29:00,3410.8,3410.8,3409.2,3409.8,134.0,97756.0,97742.0,KQ.m@CFFEX.IF,60000000000,10:29:00,2024-01-02
466620,2024-01-02 10:30:00,3409.8,3409.8,3406.0,3406.2,399.0,97742.0,97642.0,KQ.m@CFFEX.IF,60000000000,10:30:00,2024-01-02
466621,2024-01-02 10:31:00,3406.2,3408.2,3405.6,3408.0,251.0,97642.0,97578.0,KQ.m@CFFEX.IF,60000000000,10:31:00,2024-01-02
466622,2024-01-02 10:32:00,3408.0,3409.6,3407.8,3408.0,184.0,97578.0,97510.0,KQ.m@CFFEX.IF,60000000000,10:32:00,2024-01-02
466623,2024-01-02 10:33:00,3408.0,3408.2,3407.0,3408.0,153.0,97510.0,97432.0,KQ.m@CFFEX.IF,60000000000,10:33:00,2024-01-02
466624,2024-01-02 10:34:00,3408.0,3409.8,3407.6,3409.2,120.0,97432.0,97384.0,KQ.m@CFFEX.IF,60000000000,10:34:00,2024-01-02
466625,2024-01-02 10:35:00,3409.2,3410.4,3408.2,3409.0,136.0,97384.0,97370.0,KQ.m@CFFEX.IF,60000000000,10:35:00,2024-01-02
466626,2024-01-02 10:36:00,3409.0,3410.8,3408.6,3409.8,116.0,97370.0,97338.0,KQ.m@CFFEX.IF,60000000000,10:36:00,2024-01-02
466627,2024-01-02 10:37:00,3409.8,3410.6,3408.6,3410.6,135.0,97338.0,97302.0,KQ.m@CFFEX.IF,60000000000,10:37:00,2024-01-02
466628,2024-01-02 10:38:00,3410.6,3410.6,3408.2,3408.8,119.0,97302.0,97268.0,KQ.m@CFFEX.IF,60000000000,10:38:00,2024-01-02
466629,2024-01-02 10:39:00,3408.8,3409.0,3407.2,3407.2,131.0,97268.0,97239.0,KQ.m@CFFEX.IF,60000000000,10:39:00,2024-01-02
466630,2024-01-02 10:40:00,3407.2,3409.4,3406.6,3407.8,167.0,97239.0,97213.0,KQ.m@CFFEX.IF,60000000000,10:40:00,2024-01-02
